id,description,severity,date,category,impact,solution
CVE-2025-1012,"Vulnerability 12 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-10-09,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1013,"Vulnerability 13 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-11-25,SQL Injection,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1014,"Vulnerability 14 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-03-06,Privilege Escalation,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1015,"Vulnerability 15 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-05-12,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1016,"Vulnerability 16 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-08-14,SQL Injection,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1017,"Vulnerability 17 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-11-06,SQL Injection,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1018,"Vulnerability 18 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-10-31,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1019,"Vulnerability 19 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-02-13,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1020,"Vulnerability 20 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-12-22,Privilege Escalation,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1021,"Vulnerability 21 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-05-29,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1022,"Vulnerability 22 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-08-24,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1023,"Vulnerability 23 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-06-17,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1024,"Vulnerability 24 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-07-26,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1025,"Vulnerability 25 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-12-24,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1026,"Vulnerability 26 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-01-16,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1027,"Vulnerability 27 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-01-14,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1028,"Vulnerability 28 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-12-28,Buffer Overflow,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1029,"Vulnerability 29 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-04-06,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1030,"Vulnerability 30 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-08-21,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1031,"Vulnerability 31 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-08-24,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1032,"Vulnerability 32 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-11-25,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1033,"Vulnerability 33 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-07-03,Buffer Overflow,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1034,"Vulnerability 34 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-09-01,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1035,"Vulnerability 35 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-02-23,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1036,"Vulnerability 36 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-08-26,Privilege Escalation,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1037,"Vulnerability 37 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-12-01,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1038,"Vulnerability 38 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-04-07,Privilege Escalation,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1039,"Vulnerability 39 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-12-27,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1040,"Vulnerability 40 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-03-20,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1041,"Vulnerability 41 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-05-17,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1042,"Vulnerability 42 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-06-22,Buffer Overflow,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1043,"Vulnerability 43 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-06-15,Buffer Overflow,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1044,"Vulnerability 44 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-12-31,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1045,"Vulnerability 45 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-03-17,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1046,"Vulnerability 46 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-06-03,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1047,"Vulnerability 47 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-01-24,Privilege Escalation,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1048,"Vulnerability 48 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-01-18,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1049,"Vulnerability 49 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-03-19,SQL Injection,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1050,"Vulnerability 50 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-07-09,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1051,"Vulnerability 51 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-06-13,Buffer Overflow,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1052,"Vulnerability 52 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-04-25,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1053,"Vulnerability 53 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-12-29,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1054,"Vulnerability 54 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-11-08,Buffer Overflow,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1055,"Vulnerability 55 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-12-13,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1056,"Vulnerability 56 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-03-10,Buffer Overflow,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1057,"Vulnerability 57 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-12-10,Privilege Escalation,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1058,"Vulnerability 58 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-11-29,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1059,"Vulnerability 59 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-12-17,Buffer Overflow,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1060,"Vulnerability 60 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-04-26,Buffer Overflow,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1061,"Vulnerability 61 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-12-02,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1062,"Vulnerability 62 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-10-05,Buffer Overflow,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1063,"Vulnerability 63 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-04-26,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1064,"Vulnerability 64 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-03-05,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1065,"Vulnerability 65 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-09-09,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1066,"Vulnerability 66 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-11-30,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1067,"Vulnerability 67 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-12-11,Privilege Escalation,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1068,"Vulnerability 68 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-05-07,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1069,"Vulnerability 69 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-11-17,Privilege Escalation,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1070,"Vulnerability 70 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-06-30,SQL Injection,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1071,"Vulnerability 71 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-06-19,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1072,"Vulnerability 72 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-06-07,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1073,"Vulnerability 73 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-12-02,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1074,"Vulnerability 74 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-05-18,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1075,"Vulnerability 75 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-04-27,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1076,"Vulnerability 76 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-05-18,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1077,"Vulnerability 77 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-07-22,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1078,"Vulnerability 78 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-07-06,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1079,"Vulnerability 79 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-05-12,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1080,"Vulnerability 80 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-07-02,SQL Injection,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1081,"Vulnerability 81 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-09-14,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1082,"Vulnerability 82 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-11-30,Privilege Escalation,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1083,"Vulnerability 83 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-07-24,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1084,"Vulnerability 84 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-08-19,Cross-Site Scripting,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1085,"Vulnerability 85 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-06-14,Cross-Site Scripting,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1086,"Vulnerability 86 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-11-18,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1087,"Vulnerability 87 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-06-16,Privilege Escalation,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1088,"Vulnerability 88 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-01-07,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1089,"Vulnerability 89 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-04-09,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1090,"Vulnerability 90 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-01-18,Privilege Escalation,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1091,"Vulnerability 91 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2020-06-20,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1092,"Vulnerability 92 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2020-04-22,Buffer Overflow,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1093,"Vulnerability 93 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-03-25,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1094,"Vulnerability 94 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2018-02-09,SQL Injection,Remote Code Execution,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1095,"Vulnerability 95 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2019-11-13,Cross-Site Scripting,Information Disclosure,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1096,"Vulnerability 96 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Low,2019-12-30,SQL Injection,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1097,"Vulnerability 97 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2020-10-25,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1098,"Vulnerability 98 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",High,2018-03-29,Cross-Site Scripting,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1099,"Vulnerability 99 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2018-01-08,Buffer Overflow,Denial of Service,Upgrade to the latest version of XYZ Software to patch the vulnerability.
CVE-2025-1100,"Vulnerability 100 identified in the XYZ Software's buffer overflow vulnerability, which could allow an attacker to execute arbitrary code.",Medium,2019-04-28,Privilege Escalation,Privilege Escalation,Upgrade to the latest version of XYZ Software to patch the vulnerability.
